paper_id,year,primary_obj,secondary_obj,model_obj,main_output,theor_appli,zone,scale,parent1,parent2,r0,data,data_newly_pub,spatial_model,external_inf,specify_move,FOI,FOI_justif,nb_host,nb_vector,host_taxa,vector_taxa
Metras_2017,2017,understand,anticipate,FALSE,estimation,appli,Mayotte,sub,,,simulation,TRUE,TRUE,FALSE,TRUE,host_move,not_app,TRUE,1,0,Livestock,
Metras_2020,2020,understand,control,FALSE,estimation,appli,Mayotte,sub,Metras_2017,,simulation,TRUE,TRUE,FALSE,FALSE,,not_app,TRUE,2,0,"Livestock, Human",
Cecilia_2020,2020,understand,anticipate,FALSE,map_risk,appli,Senegal,sub,,,analytical,TRUE,FALSE,TRUE,FALSE,,FR,TRUE,2,3,"Cattle, Small ruminants","Aedes, Culex"
Durand_2020,2020,understand,,FALSE,estimation,appli,Senegal,local,,,,TRUE,TRUE,FALSE,TRUE,host_move,FR,FALSE,2,2,"Cattle, Small ruminants","Aedes, Culex"
Leedale_2016,2016,understand,,TRUE,map_risk,appli,"Kenya, Tanzania",international,Hoshen_2004,,,TRUE,FALSE,TRUE,FALSE,,FR,TRUE,1,2,Livestock,"Aedes, Culex"
Taylor_2016,2016,anticipate,,FALSE,map_risk,appli,East African Community,international,Leedale_2016,,,TRUE,FALSE,TRUE,FALSE,,FR,TRUE,1,2,Livestock,"Aedes, Culex"
Miron_2016,2016,anticipate,control,FALSE,sensitivity,grey,North America,local,Gaff_2007,,analytical,FALSE,,FALSE,FALSE,,MA,TRUE,2,1,"Livestock, Human",Aedes
Gaff_2007,2007,understand,anticipate,TRUE,sensitivity,theor,,,,,analytical,FALSE,,FALSE,FALSE,,FI,FALSE,1,2,Livestock,"Aedes, Culex"
Mpeshe_2011,2011,understand,,TRUE,sensitivity,theor,,,Gaff_2007,,analytical,FALSE,,FALSE,FALSE,,FI,FALSE,2,1,"Livestock, Human",Not precised
Pedro_2017,2017,understand,,FALSE,sensitivity,theor,,,Pedro_2014,Mwambi_2000,analytical,FALSE,,FALSE,FALSE,,Hybrid1,TRUE,1,3,Livestock,"Aedes, Culex, Hyalomma ticks"
